customer_code,signup_date,customer_segment,email,loyalty_id
 CUST-0000001 ,06/10/2025,SMB,user1@example.com,L363334
 CUST-0000002 ,2022-10-22,Consumer,user2@example.com,
c0000003,2024-04-16,CONSUMER,user3@example.com,L539990
 0000004 ,2023/08/20,CONSUMER,user4@example.com,L562732
 0000005 ,2024-12-15, Enterprise ,user5@example.com,L951957
C0000006,20-Nov-2024,SMB,user6@example.com,L528631
 CUST-0000007 ,2025-12-20,Consumer,user7@example.com,L429101
C0000008,10/29/2021,Enterprise,user8@example.com,
C0000009,2024-05-20, Consumer ,user9@example.com,L996095
 CUST-0000010 ,2020-02-05, Consumer ,user10@example.com,L471007
 C0000011 ,2024/08/10,CONSUMER,user11@example.com,
0000012,2025-03-02,Consumer,user12@example.com,L859193
 0000013 ,2022-11-10,Consumer,user13@example.com,L658109
CUST-0000014,07-Sep-2023,consumer,user14@example.com,L773196
C0000015,01/30/2025, SMB ,user15@example.com,
 0000016 ,09/17/2020,Consumer,user16@example.com,L304171
0000017,2021-05-22, SMB ,user17@example.com,L967008
CUST-0000018,14-Aug-2020,ENTERPRISE,user18@example.com,L504075
0000019,02-Mar-2022, Enterprise ,user19@example.com,L290120
CUST-0000020,02/11/2021,Consumer,user20@example.com,L970493
C0000021,2023-08-26, Consumer ,user21@example.com,L150401
 C0000022 ,2024-08-11,Consumer,user22@example.com,L917798
CUST-0000023,03/24/2025, Consumer ,user23@example.com,L712071
CUST-0000024,03/18/2024,consumer,user24@example.com,L220609
CUST-0000025,2022-11-24,Consumer,user25@example.com,
 0000026 ,2024/08/28, SMB ,user26@example.com,L168264
C0000027,2021-11-05,consumer,user27@example.com,L208232
CUST-0000028,11-Feb-2020,Consumer,user28@example.com,L825396
 C0000029 ,03/08/2022,smb,user29@example.com,L394114
0000030,2020-04-02,SMB,user30@example.com,L136418
C0000031,2025/11/20,SMB,user31@example.com,L331146
CUST-0000032,2024/08/24,consumer,user32@example.com,
C0000033,2025-08-28,SMB,user33@example.com,L782143
0000034,07/10/2021,smb,user34@example.com,
 CUST-0000035 ,2022-12-09,Enterprise,user35@example.com,L619432
 CUST-0000036 ,2023/05/30,Enterprise,user36@example.com,L115019
 CUST-0000037 ,18-Apr-2023, Enterprise ,user37@example.com,L505742
CUST-0000038,2024-08-05,CONSUMER,user38@example.com,L383187
0000039,30-Aug-2024,Enterprise,user39@example.com,L487530
0000040,2024/03/05, Consumer ,user40@example.com,L961782
 C0000041 ,10/02/2021, SMB ,user41@example.com,L312943
0000042,2023-04-27,SMB,user42@example.com,L749384
0000043,2020-07-13,SMB,user43@example.com,L910250
CUST-0000044,01/23/2023, SMB ,user44@example.com,
0000045,2023-02-28,SMB,user45@example.com,L341104
 C0000046 ,2022-01-22,Consumer,user46@example.com,L706760
0000047,2021/12/03,CONSUMER,,L664394
0000048,05/09/2024,Enterprise,user48@example.com,L899076
 CUST-0000049 ,08/01/2022,Consumer,user49@example.com,L656692
c0000050,2021-11-05,Consumer,user50@example.com,L943074
0000051,04/12/2021,ENTERPRISE,user51@example.com,L909874
0000052,2021/11/05,enterprise,user52@example.com,L463674
0000053,2021/10/24, Consumer ,user53@example.com,L617986
C0000054,09/04/2022,Consumer,user54@example.com,
0000055,06/23/2024,CONSUMER,user55@example.com,L363995
C0000056,09/17/2024, Enterprise ,user56@example.com,L562821
0000057,2023-03-25,consumer,user57@example.com,L413763
cust-0000058,04/04/2024,Consumer,user58@example.com,L175765
C0000059,04/26/2023,CONSUMER,user59@example.com,L242883
C0000060,02-Aug-2025,SMB,user60@example.com,L369404
 0000061 ,2021-11-14,Consumer,user61@example.com,L400056
CUST-0000062,2025/01/30,SMB,user62@example.com,L314687
CUST-0000063,2025-03-17,Consumer,user63@example.com,L338112
0000064,12/08/2024,Enterprise,user64@example.com,
C0000065,2021/10/02,CONSUMER,user65@example.com,L620444
CUST-0000066,13-Aug-2024,Consumer,user66@example.com,L196804
0000067,05/08/2024,CONSUMER,user67@example.com,L623387
c0000068,11/18/2023,consumer,user68@example.com,L147223
 C0000069 ,10/28/2021,CONSUMER,user69@example.com,L376864
0000070,02/12/2020,Consumer,user70@example.com,L873644
